distance_mm,height_mm,level,x_profile_mm,y_profile_mm,x_samlight_mm,y_samlight_mm
0.296117,-0.038568,0,4.559221,-1.857554,-33.897298,25.141274
0.299819,-0.032232,0,4.562631,-1.858993,-33.893913,25.139787
0.303520,-0.014079,0,4.566041,-1.860433,-33.890529,25.138301
0.307222,0.003954,0,4.569451,-1.861873,-33.887145,25.136815
0.310923,0.015902,0,4.572861,-1.863313,-33.883760,25.135329
0.314625,0.016346,0,4.576271,-1.864752,-33.880376,25.133842
0.318326,0.011372,0,4.579681,-1.866192,-33.876991,25.132356
0.322028,0.008595,0,4.583091,-1.867632,-33.873607,25.130870
0.325729,0.008283,0,4.586501,-1.869072,-33.870222,25.129383
0.329431,0.008528,0,4.589911,-1.870512,-33.866838,25.127897
0.333132,0.008533,0,4.593321,-1.871951,-33.863454,25.126411
0.336834,0.008139,0,4.596731,-1.873391,-33.860069,25.124924
0.340535,0.008395,0,4.600141,-1.874831,-33.856685,25.123438
0.344237,0.010169,0,4.603551,-1.876271,-33.853300,25.121952
0.347938,0.012447,0,4.606961,-1.877710,-33.849916,25.120466
0.351639,0.015168,0,4.610371,-1.879150,-33.846531,25.118979
0.355341,0.017365,0,4.613781,-1.880590,-33.843147,25.117493
0.359042,0.019426,0,4.617191,-1.882030,-33.839763,25.116007
0.362744,0.021357,0,4.620601,-1.883469,-33.836378,25.114520
0.366445,0.023951,0,4.624011,-1.884909,-33.832994,25.113034
0.370147,0.027517,2,4.627421,-1.886349,-33.829609,25.111548
0.373848,0.031748,2,4.630831,-1.887789,-33.826225,25.110061
0.377550,0.035773,2,4.634241,-1.889229,-33.822840,25.108575
0.381251,0.038780,2,4.637651,-1.890668,-33.819456,25.107089
0.384953,0.040481,2,4.641061,-1.892108,-33.816071,25.105603
0.388654,0.042401,2,4.644471,-1.893548,-33.812687,25.104116
