x_mm,y_mm
1.134615385,-0.025120203
1.138461538,-0.020152097
1.142307692,-0.015742195
1.146153846,-0.010193915
1.150000000,-0.004051838
1.153846154,0.002003347
1.157692308,0.009113333
1.161538462,0.012577708
1.165384615,0.014418375
1.169230769,0.015584570
1.173076923,0.015279624
1.176923077,0.013644283
1.180769231,0.010324961
1.184615385,0.005582192
1.188461538,0.000103098
1.192307692,-0.003648060
1.196153846,-0.005321099
1.200000000,-0.005250700
