distance_mm,height_mm,level,x_profile_mm,y_profile_mm,x_samlight_mm,y_samlight_mm
0.737362,-0.007746,2,3.412699,-3.488286,-50.657747,-0.336524
0.741067,-0.007253,2,3.409423,-3.490019,-50.661020,-0.338211
0.744772,-0.005901,2,3.406148,-3.491751,-50.664293,-0.339899
0.748478,-0.003757,2,3.402873,-3.493484,-50.667565,-0.341586
0.752183,-0.000928,2,3.399597,-3.495216,-50.670838,-0.343274
0.755888,0.002015,2,3.396322,-3.496949,-50.674111,-0.344961
0.759594,0.004890,2,3.393047,-3.498681,-50.677383,-0.346649
0.763299,0.006658,2,3.389771,-3.500414,-50.680656,-0.348336
0.767004,0.008213,2,3.386496,-3.502146,-50.683929,-0.350024
0.770710,0.008583,2,3.383221,-3.503879,-50.687201,-0.351711
0.774415,0.008982,2,3.379945,-3.505611,-50.690474,-0.353399
0.778120,0.008946,2,3.376670,-3.507344,-50.693747,-0.355086
0.781826,0.009748,2,3.373395,-3.509076,-50.697019,-0.356774
0.785531,0.010632,2,3.370119,-3.510809,-50.700292,-0.358461
0.789236,0.011000,2,3.366844,-3.512541,-50.703565,-0.360149
0.792942,0.010867,2,3.363569,-3.514274,-50.706837,-0.361836
0.796647,0.010167,2,3.360293,-3.516006,-50.710110,-0.363524
0.800352,0.008666,2,3.357018,-3.517739,-50.713383,-0.365211
0.804058,0.006899,2,3.353742,-3.519471,-50.716655,-0.366899
0.807763,0.005258,2,3.350467,-3.521204,-50.719928,-0.368586
0.811468,0.004785,2,3.347192,-3.522936,-50.723201,-0.370274
0.815174,0.005142,2,3.343916,-3.524669,-50.726473,-0.371961
0.818879,0.006077,2,3.340641,-3.526401,-50.729746,-0.373649
0.822584,0.007003,2,3.337366,-3.528134,-50.733019,-0.375336
0.826290,0.007827,2,3.334090,-3.529866,-50.736291,-0.377024
0.829995,0.009178,2,3.330815,-3.531599,-50.739564,-0.378711
0.833700,0.010650,2,3.327540,-3.533331,-50.742836,-0.380399
0.837406,0.012881,2,3.324264,-3.535064,-50.746109,-0.382086
0.841111,0.013889,2,3.320989,-3.536796,-50.749382,-0.383774
0.844816,0.014000,2,3.317714,-3.538529,-50.752654,-0.385461
0.848522,0.014000,2,3.314438,-3.540261,-50.755927,-0.387149
0.852227,0.014403,2,3.311163,-3.541994,-50.759200,-0.388836
0.855932,0.015213,2,3.307887,-3.543726,-50.762472,-0.390524
0.859638,0.015681,2,3.304612,-3.545459,-50.765745,-0.392211
0.863343,0.015957,2,3.301337,-3.547191,-50.769018,-0.393899
0.867048,0.015494,2,3.298061,-3.548924,-50.772290,-0.395586
0.870754,0.014079,2,3.294786,-3.550656,-50.775563,-0.397274
0.874459,0.013157,2,3.291511,-3.552389,-50.778836,-0.398961
0.878164,0.012268,2,3.288235,-3.554121,-50.782108,-0.400649
0.881870,0.012000,2,3.284960,-3.555854,-50.785381,-0.402336
0.885575,0.012000,2,3.281685,-3.557586,-50.788654,-0.404024
0.889280,0.011841,2,3.278409,-3.559319,-50.791926,-0.405712
0.892986,0.010850,2,3.275134,-3.561051,-50.795199,-0.407399
0.896691,0.008904,2,3.271859,-3.562784,-50.798472,-0.409087
0.900396,0.006094,2,3.268583,-3.564516,-50.801744,-0.410774
0.904102,0.002945,2,3.265308,-3.566249,-50.805017,-0.412462
0.907807,0.001445,2,3.262033,-3.567981,-50.808290,-0.414149
